"","id","Publication Year","Author","Title","Publication Title","DOI","Pages","Issue","Volume","abstract","Location","x","y","Context","Functional Groups","Time Frame value","Time Frame Units","Treatments/Factors","Growth","Treatment differences","Response Variables","Notes","Elevation","MAP","MAT","X_raw","Y_raw","bib"
"1",2,2017,"Williams, Laura; Colesie, Claudia; Ullmann, Anna; Westberg, Martin; Wedin, Mats; BÅdel, Burkhard","Lichen acclimation to changing environments: Photobiont switching vs. climate-specific uniqueness in Psora decipiens","Ecology and Evolution","10.1002/ece3.2809","2560?2574","8",7,"Unraveling the complex relationship between lichen fungal and algal partners has been crucial in understanding lichen dispersal capacity, evolutionary processes, and responses in the face of environmental change. However, lichen symbiosis remains enigmatic, including the ability of a single fungal partner to associate with various algal partners. Psora decipiens is a characteristic lichen of biological soil crusts (BSCs), across semi-arid, temperate, and alpine biomes, which are particularly susceptible to habitat loss and climate change. The high levels of morphological variation found across the range of Psora decipiens may contribute to its ability to withstand environmental change. To investigate Psora decipiens acclimation potential, individuals were transplanted between four climatically distinct sites across a European latitudinal gradient for 2years. The effect of treatment was investigated through a morphological examination using light and SEM microscopy; 26S rDNA and rbcL gene analysis assessed site-specific relationships and lichen acclimation through photobiont switching. Initial analysis revealed that many samples had lost their algal layers. Although new growth was often determined, the algae were frequently found to have died without evidence of a new photobiont being incorporated into the thallus. Mycobiont analysis investigated diversity and determined that new growth was a part of the transplant, thus, revealing that four distinct fungal clades, closely linked to site, exist. Additionally, P.decipiens was found to associate with the green algal genus Myrmecia, with only two genetically distinct clades between the four sites. Our investigation has suggested that P.decipiens cannot acclimate to the substantial climatic variability across its environmental range. Additionally, the different geographical areas are home to genetically distinct and unique populations. The variation found within the genotypic and morpho-physiological traits of P.decipiens appears to have a climatic determinant, but this is not always reflected by the algal partner. Although photobiont switching occurs on an evolutionary scale, there is little evidence to suggest an active environmentally induced response. These results suggest that this species, and therefore, other lichen species, and BSC ecosystems themselves may be significantly vulnerable to climate change and habitat loss.","Climate Gradient, Europe",9.170833333,51.21453704,"Field","Lichen",2,"Years","Inoculum source","Mixed","Inoculum source","Biomass (C)","","","","","16¯28?E,9¯48?E,12¯51?E,2¯26?W","56¯32?N,50¯01?N,47¯05?N37¯00?N","bib/williams_lichen_2017.bib"
"2",1,2018,"Chandler, David G.; Day, Natalie; Madsen, Matthew D.; Belnap, Jayne","Amendments fail to hasten biocrust recovery or soil stability at a disturbed dryland sandy site","Restoration Ecology","10.1111/rec.12870","","",NA,"In most drylands, biological soil crusts (biocrusts), an assemblage of lichens, bryophytes, fungi, green algae, and cyanobacteria, are critical to healthy ecosystem function. However, they are extremely sensitive to disturbance and attempts to facilitate their recovery have had variable success. In this study, we applied soil amendments designed to improve soil surface stability and accelerate biocrust recovery on an area disturbed by oil/gas exploration vehicles. Treatments included: (1) control (one time water only); (2) biocrust?only: biocrust inoculum + nutrients in water; (3) polyacrylamide gels (which are known to stabilize soils)?+?biocrust inoculum + nutrients in water; (4) gypsum + biocrust inoculum + nutrients in water; and (5) saline (NaCl) solution + biocrust inoculum + nutrients in water. Only the NaCl treatment showed any effects on soil properties and these were only short term. These effects included an increase in soil strength and a reduction in soil aggregate stability, unsaturated hydraulic conductivity (Kh), and cyanobacterial biomass. The inoculated biocrust material failed to develop and even after 10ˇyears, there was only a very low natural recolonization of the plots. These results show that inoculating soils or applying these levels of soil amendments does not guarantee recovery of soil stability or biocrust, and that some sites are unlikely to recover without assistance. Thus, there is a need for more research into ways to enhance soil stability and identify the factors limiting biocrust establishment.","Colorado Plateau",-109.7341028,38.54486667,"Field","Moss, Lichen, Cyanobacteria",10,"Years","Nutrients, Inoculum","Negative","","Chl a, Cover, Biomass (C), Penetrometer, hydraulic conductivity","","","","","","","bib/chandler_amendments_2018.bib"
"3",85,2010,"Bowker, Matthew A.; Belnap, Jayne; Davidson, Diane W.","Microclimate and Propagule Availability are Equally Important for Rehabilitation of Dryland N-Fixing Lichens","Restoration Ecology","10.1111/j.1526-100x.2009.00578.x","30?33","1",18,"In some arid regions, rehabilitation of whole system
N-fixation may be strongly facilitated by the recovery of
populations of the lichen genus Collema. Identification
of the limits to recovery of Collema in apparently suitable
habitat should inform selection of rehabilitation techniques.
We simultaneously tested the relative importance
of three hypothetical limits to Collema recovery: active
erosion, resource limitation, and propagule scarcity. We
found that in our experimental system, active erosion had
no effect on short-term establishment of Collema, whereas
propagule addition did enhance recovery and microhabitat
(a resource availability gradient) also exerted a strong
influence. It is possible that attempts to improve N cycling
via re-establishment of Collema might be best served by
developing economical means of simulating moister, cooler
microhabitats, e.g., sloping soil or creating partial shade,
which would favor the establishment of naturally dispersed
propagules, rather than introducing propagules.","Colorado Plateau",-109.761,38.160165,"Field","Lichen",6,"Months","Aspect, Stabilizer","Mixed","","Presence / Absence","","","","","","","bib/bowker_microclimate_2010.bib"
"4",73,1983,"Metting, Blaine; Rayburn, William R.","The Influence of a Microalgal Conditioner on Selected Washington Soils: An Empirical Study1","Soil Science Society of America Journal","10.2136/sssaj1983.03615995004700040015x","682","4",47,"Chemical and physical analyses of four Columbia Basin soils were used to evaluate the effects of repeated annual inoculation with the mass cultured microalgal soil conditionerˇChlamydomonas mexicanaˇ?Lewin?. Carbohydrate concentrations were consistently, though not significantly, greater in both the surface 10 mm and in the upper 300 mm of treated portions of a Quincy loamy fine sand, a Quincy loamy sand, and a Warden silt loam compared to untreated portions from the same soil mapping units. Treated soil samples from the two Quincy soils contained from 0.12 to 0.40 g/kg more carbohydrate than did untreated samples, while differences of about 1.0 g/kg of soil were measured in the Warden silt loam. Using locations as replicates, increases in water retention from treatments were significant (0.05% level), ranging from 2 to nearly 5% above untreated soils. Wet sieving of 0.92- to 1.68-mm natural aggregates showed striking differences (significant at 0.1% level) between treated and untreated samples of the three soils. Stability in water was increased from 54.4 to 76.1% for the Quincy loamy fine sand, from 44.5 to 63.4% for the Quincy loamy sand, and from 82.1 to 86.1% for the Warden silt loam. Disruption of natural 0.92- to 1.68-mm aggregates by rotary dry sieving was significantly different (0.05% level) between algal-treated and untreated samples. Disruption to particles < 0.42 mm was 75.1 and 87.2% of treated and untreated samples, respectively, of Quincy loamy fine sand. Corresponding values for the Quincy loamy sand were 81.3 and 97.6%, and for the Warden silt loam, 60.9 and 78.8%. Moisture is implicated as the factor most likely controlling growth and polysaccharide production by the microalgal inoculum from the fact that differences in these chemical and physical properties could not be measured between treated and untreated samples from a dryland Ritzville silt loam.","Columbia Basin",-120.18,46.2,"Field","Algae",2,"Years","Substrate","Positive","Substrate","Aggregate Stability, Carbohydrates","","","","","","","bib/metting_influence_1983.bib"
"5",3,2017,"Ballesteros, M.; Ayerbe, J.; Casares, M.; Ca§adas, E. M.; Lorite, J.","Successful lichen translocation on disturbed gypsum areas: A test with adhesives to promote the recovery of biological soil crusts","Scientific Reports","10.1038/srep45606","","1",7,"The loss of biological soil crusts represents a challenge for the restoration of disturbed environments, specifically in particular substrates hosting unique lichen communities. However, the recovery of lichen species affected by mining is rarely addressed in restoration projects. Here, we evaluate the translocation of Diploschistes diacapsis, a representative species of gypsum lichen communities affected by quarrying. We tested how a selection of adhesives could improve thallus attachment to the substrate and affect lichen vitality (as CO2 exchange and fluorescence) in rainfall-simulation and field experiments. Treatments included: white glue, water, hydroseeding stabiliser, gum arabic, synthetic resin, and a control with no adhesive. Attachment differed only in the field, where white glue and water performed best. Adhesives altered CO2 exchange and fluorescence yield. Notably, wet spoils allowed thalli to bind to the substrate after drying, revealing as the most suitable option for translocation. The satisfactory results applying water on gypsum spoils are encouraging to test this methodology with other lichen species. Implementing these measures in restoration projects would be relatively easy and cost-effective. It would help not only to recover lichen species in the disturbed areas but also to take advantage of an extremely valuable biological material that otherwise would be lost.","Granada, Spain",-3.75,37.03333333,"Field","Lichen",1,"Years","Stabilizer","Mixed","Stabilizer","Fluorescence, Survival","","950","420","15","","","bib/ballesteros_successful_2017.bib"
"6",53,2016,"Condon, Lea A.; Pyke, David A.","Filling the interspace-restoring arid land mosses: source populations, organic matter, and overwintering govern success","Ecology and Evolution","10.1002/ece3.2448","7623?7632","21",6,"Biological soil crusts contribute to ecosystem functions and occupy space that could be available to invasive annual grasses. Given disturbances in the semiarid shrub steppe communities, we embarked on a set of studies to investigate restoration potential of mosses in sagebrush steppe ecosystems. We examined establishment and growth of two moss species common to the Great Basin, USA: Bryum argenteum and Syntrichia ruralis from two environmental settings (warm dry vs. cool moist). Moss fragments were inoculated into a third warm dry setting, on bare soil in spring and fall, both with and without a jute net and with and without spring irrigation. Moss cover was monitored in spring seasons of three consecutive years. Both moss species increased in cover over the winter. When Bryum received spring irrigation that was out of sync with natural precipitation patterns, moss cover increased and then crashed, taking two seasons to recover. Syntrichia did not respond to the irrigation treatment. The addition of jute net increased moss cover under all conditions, except Syntrichia following fall inoculation, which required a second winter to increase in cover. The warm dry population of Bryum combined with jute achieved on average 60% cover compared to the cool moist population that achieved only 28% cover by the end of the study. Differences were less pronounced for Syntrichia where moss from the warm dry population with jute achieved on average 51% cover compared to the cool moist population that achieved 43% cover by the end of the study. Restoration of arid land mosses may quickly protect soils from erosion while occupying sites before invasive plants. We show that higher moss cover will be achieved quickly with the addition of organic matter and when moss fragments originate from sites with a climate that is similar to that of the restoration site.","Great Basin",-118.5972463,43.56560185,"Field","Moss",3,"Years","Inoculum Species, Jute net, Watering, Climate, Season of Inoculation","Positive","Jute, Species, Climate, Time of Inoculation, Jute Net","Cover","","","","","121¯04?00.10?W, 116¯03?43.76?W, 118¯39?46.40?W","44¯43?36.54?N,43¯10?53.86?N,42¯47?18.10?N","bib/condon_filling_2016.bib"
"7",67,2009,"Rao, Ben-Qiang; Wang, Wei-Bo; Lan, Shu-Bin; Li, Dun-Hai; Hu, Chun-Xiang; Liu, Yong-Ding","Development characteristics and distribution of microorganisms within 3-year-old artificial algal crusts in Hopq Desert","Acta Hydrobiol Sin","","937?944","5",33,"In this study,development characteristics and distribution of microorganisms within four different types of artificial algal crusts were investigated.The results showed that:(1) artificial algal crusts came into being,when desert cyanobacteria were inoculated onto surface of dunes,with their average thickness of 2.23?5.36mm,highly black and sage green,and coverage of artificial algal crusts over 70% when artificial algal crusts underwent growth and development of three years.As to the four artificial algal crusts,Salix cheilophila Schneid.-Aneurolepidium chinensis-algal crust(SAA)was found to gain the best developments and reached the most biomass,and arrived at the succession of moss crust at the same time.Plenty of desert plants occurred at the locations of artificial algal crusts,such as A.squarrosum,E.dahuricus,S.collina and A.chinensis,etc.,and the coverage of vegetation accounted for 60%? 90%.Algal compositions of artificial algal crusts at four different stations were entirely very single,and the quantities of algal species varied inapparently.M.vaginatus was found to be still utterly dominant,whereas,S.javanicum kept secondary.Moreover,different species of algae were discovered to inhabit distinct ecological niche.It was shown in our study that artificial algal crusts could bear high compressive strength,and compressive strength commonly achieved 35?70 N/m2.Cyanobacteria forming artificial algal crust was found to own abundant filamentous growth forms that could band and felt soil particles by compact and high mechanical force,and simultaneously,they exude polysaccharide with their filaments to hasten soil aggregation and cement soil particles together.All those meant compressive strength of artificial crusts was able to be maintained due to the presence of filamentous cyanobacteria.The observation to ultra-microstructures of algal crusts indicated that abundant filamentous growth forms occurred between the sand soils within algal crusts during growth and development of 3 years in the fields.A great deal of filamentous growth forms were observed to band up and felt sand particles,which may be contributed to cementation process of artificial algal crusts.(2) Change trend of the total number of microorganisms was: SAAGAAASACK.Changes of biomass of artificial algae crusts accorded with that of the total number of microorganisms.Of all main microorganism groups,the quantities of bacteria,actinomyces and fungi within different types of artificial algae crusts were consistent with that of the total number of microorganisms.Concerning the four artificial algae crusts,the ratio of bacteria quantities to the total number of microorganisms was distinctly more than that of actinomyces and fungi.The percentage of bacteria quantities to the total number of microorganisms increased sharply in turn,while the percentage of actinomyces quantities to the total number of microorganisms decreased evidently.Need to mention that it took on very small ratio of fungi quantities to the total number of microorganisms,and differences of the ratios varied very little.","Hobq Desert",NA,NA,"Field","Algae",3,"Years","Inoculum Species","Positive","Inoculum Species","Cover, Biomass, compressional strength","Checkerboard experiment","","","","","","bib/rao_development_2009.bib"
"8",62,2013,"Li, Hua; Rao, Benqiang; Wang, Gaohong; Shen, Si; Li, Dunhai; Hu, Chunxiang; Liu, Yongding","Spatial heterogeneity of cyanobacteria-inoculated sand dunes significantly influences artificial biological soil crusts in the Hopq Desert (China)","Environmental Earth Sciences","10.1007/s12665-013-2428-6","245?253","1",71,"Artificial biological soil crusts (ABSCs), formed by inoculating Microcoleus vaginatus Gom. and Scytonema javanicum Born. et Flah. onto the topsoil of desert dunes, proved to be effective tools for the stabilization of moving dunes and promotion of soil fertility. As dominant driving forces in arid habitats, the abiotic environmental conditions of undulating dunes produce a gradient of abiotic stresses on cyanobacteria. Cyanobacteria are considered pioneering phototrophs in early soil crust communities in deserts. In this study, the development of ABSCs under various environmental site conditions was investigated using 16S rRNA-based polymerase chain reaction, denaturing gradient gel electrophoresis (DGGE), and soil property measurements. After inoculation in 2002 and long-term development, patchy moss crusts were observed on the dunes. All of the available sequenced bands in the DGGE gels belonged to Oscillatoriales and Nostocales. The dominant Nostocales genus in the ABSCs was still Scytonema; however, more Oscillatoriales genera were identified, which belonged to Microcoleus and Phormidium. The cyanobacterial compositions of different slope types were significantly distinct (p\0.05), particularly those from windward slopes. The crusts of the top-dune slopes were more heterogeneous. In addition, the soil physicochemical properties and richness indices of the windward slopes were significantly lower than those of the leeward and interdune slopes (p\0.05). Compared with uninoculated control dunes, all of the inoculated dunes had far higher biodiversities.","Hopq Desert, China",109.85,40.35,"Field","Cyanobacteria",7,"Years","Inoculation","Positive","Inoculation","Species composition, Nutrients","Checkerboard experiment","","","","","","bib/li_spatial_2013.bib"
"9",4,2013,"Wu, Yiwen; Rao, Benqiang; Wu, Peipei; Liu, Yongding; Li, Genbao; Li, Dunhai","Development of artificially induced biological soil crusts in fields and their effects on top soil","Plant and Soil","10.1007/s11104-013-1611-6","115?124","2-Jan",370,"Biological soil crusts (BSCs) could improve severe environment ecological conditions by increasing soil moisture, soil nitrogen concentration, and so on. In order to control desertification and recover the destroyed soil fertility utilizing a new means using BSCs, the soil surface was artificially inoculated with Microcoleus vaginatus and Scytonema javanicum. Relationships between the development of the artificially induced biological soil crusts and the distribution and dynamic changes of nitrogen and phosphorus in the soil crusts have been analyzed.Crusts of different ages were investigated by measuring soil physical and chemical factors, such as moisture, pH, total and available N content, and total and available P, which were correlated with the depths of the crusts.This study found that the types of color, shape, and species components of the algal crusts increased with crust development. Soil moisture, total N, available N, and available P increased gradually with crust growth. Soil with crusts was wetter than the controlled naked sandy soil, and a significant correlation was observed between biomass and total nitrogen (r = 0.946, P = 0.015). Soil pH was lower than that of control. The scytonemin on the soil surface was exceptionally higher than the other pigments, and all the pigments were mainly distributed at the soil surface level. Though the crusts were mainly distributed on soil surface, the available P was mainly stored below the crust layer.Pearson correlation tests indicated that artificially inoculated biological crusts could improve soil fertility and micro-environment of the top soil: The development of artificially induced BSCs was very well, and this was favorable to inducing the following crust succession.","Hopq Desert, China",109.85,40.35,"Field","Lichen",7,"Years","Inoculum species","Positive","Inoculum species","Cover, Nutrients","No Conrol?","1,040 m","240","","","","bib/wu_development_2013.bib"
"10",6,2010,"Lan, ShuBin; Hu, ChunXiang; Rao, BenQiang; Wu, Li; Zhang, DeLu; Liu, YongDing","Non-rainfall water sources in the topsoil and their changes during formation of man-made algal crusts at the eastern edge of Qubqi Desert, Inner Mongolia","Science China Life Sciences","10.1007/s11427-010-4049-6","1135?1141","9",53,"In arid and semiarid areas, water uptake (non-rainfall water) serves as an important water source for plants, biological soil crusts, insects and small animals. In this study, a measurement program was undertaken to investigate water uptake and its changes during formation of man-made algal crusts in the Qubqi Desert. In the study region, water uptake from the atmosphere accounted for 25.07%-39.83% of the total water uptake, and was mainly taken up by a water vapor adsorption mechanism; the proportion of water uptake from the soil substrate was much higher (60.17%-74.93%). The formation of crusts promoted water uptake, but the increased uptake did not occur immediately after inoculation or crusts formation. The water taken up from the atmosphere increased significantly from day 15 after inoculation, and the soil water content was markedly enhanced from day 20 after inoculation. It is considered that the growth of algal filaments and their secretions were the main factors increasing the amount of water uptake and water content in the crusts, and these variables increased even during dry periods when some algae are likely to have died.","Inner Mongolia",109.85,40.35,"Field","Cyanobacteria",8,"Years","Inoculation","Positive","","","Checkerboard experiment","","","","","","bib/lan_non-rainfall_2010.bib"
